BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,PAYMENTS,MINIMUM_PAYMENTS,TENURE,PAYMENT_TO_MIN_PAYMENT_RATIO,MONTHLY_AVG_PURCHASES,MONTHLY_AVG_CASH_ADVANCE,MONTHLY_AVG_PAYMENTS,CASH_ADVANCE_SHARE,PURCHASE_TYPE,PRC_FULL_PAYMENT,CREDIT_LIMIT
7558.010921,1.0,365.26,188.56,176.7,4738.30754,0.5,0.083333,0.416667,0.666667,25,9,3311.192387,4903.859993,12,0.6752216386630808,30.438333333333333,394.85896166666663,275.93269891666665,0.9284304544964825,Both,0.0,8000.0
649.896506,1.0,4919.76,4353.06,566.7,191.376535,0.916667,0.666667,0.833333,0.166667,3,48,4854.34051,219.441278,12,22.12136355123836,409.98,15.948044583333333,404.5283758333333,0.037443048784759084,Both,0.166667,6500.0
2382.328208,1.0,899.58,413.28,486.3,450.252732,1.0,0.25,1.0,0.166667,4,34,850.186851,1212.047288,12,0.7014469257123002,74.965,37.521060999999996,70.84890425,0.33356186880818745,Both,0.0,2500.0
1119.157048,1.0,133.9,133.9,0.0,269.234406,0.166667,0.166667,0.0,0.25,3,3,427.35515,320.855529,12,1.3319238662107062,11.158333333333333,22.436200499999998,35.61292916666667,0.667852694571232,One_Off_Only,0.0,1200.0
0.0,0.0,136.8,0.0,136.8,0.0,1.0,0.0,1.0,0.0,0,12,127.99655,312.343947,12,0.4097935853454018,11.4,0.0,10.666379166666667,0.0,Installments_Only,0.0,2700.0
20.620429,0.818182,169.66,0.0,169.66,0.0,0.75,0.0,0.666667,0.0,0,9,192.185764,145.811693,12,1.3180407336714257,14.138333333333334,0.0,16.015480333333333,0.0,Installments_Only,1.0,1000.0
356.669878,0.909091,0.0,0.0,0.0,390.549563,0.0,0.0,0.0,0.166667,2,0,1936.324445,117.244717,12,16.51523692830979,0.0,32.54579691666667,161.36037041666665,0.999999974395056,No_Purchases,0.285714,1200.0
541.915572,0.636364,1377.72,1377.72,0.0,0.0,0.25,0.25,0.0,0.0,0,5,182.177646,200.759856,12,0.907440563842576,114.81,0.0,15.181470500000001,0.0,One_Off_Only,0.0,2500.0
80.607988,1.0,1638.3,0.0,1638.3,0.0,1.0,0.0,1.0,0.0,0,35,1589.707781,67.939783,12,23.398772807565074,136.525,0.0,132.47564841666667,0.0,Installments_Only,0.2,6000.0
336.799916,1.0,3535.8,1614.7,1921.1,0.0,1.0,0.416667,0.916667,0.0,0,44,2814.231227,186.230835,12,15.111520473421038,294.65000000000003,0.0,234.51926891666668,0.0,Both,1.0,20000.0
275.8837,1.0,424.44,0.0,424.44,0.0,1.0,0.0,1.0,0.0,0,12,159.715319,169.767772,12,0.9407869804177567,35.37,0.0,13.309609916666666,0.0,Installments_Only,0.0,2500.0
0.0,0.0,19.25,0.0,19.25,0.0,0.083333,0.0,0.083333,0.0,0,1,0.0,312.343947,12,0.0,1.6041666666666667,0.0,0.0,0.0,Installments_Only,0.0,4000.0
121.294493,0.75,385.26,385.26,0.0,169.554775,0.5,0.5,0.0,0.125,3,7,98.225317,113.944625,8,0.8620442463131327,48.1575,21.194346875,12.278164625,0.3056060861824365,One_Off_Only,0.0,500.0
50.582235,0.909091,428.0,110.0,318.0,0.0,0.5,0.083333,0.333333,0.0,0,7,541.419745,139.585651,12,3.878763342317804,35.666666666666664,0.0,45.118312083333336,0.0,Both,0.428571,1700.0
408.948673,0.272727,0.0,0.0,0.0,1871.859929,0.0,0.0,0.0,0.083333,1,0,3902.376688,124.094651,12,31.446773427262915,0.0,155.98832741666666,325.19805733333334,0.9999999946577199,No_Purchases,0.090909,10000.0
290.246277,1.0,2617.61,1342.69,1274.92,0.0,1.0,1.0,0.75,0.0,0,52,2948.963493,164.864181,12,17.887228725126853,218.1341666666667,0.0,245.74695775,0.0,Both,0.916667,2500.0
1329.443468,1.0,0.0,0.0,0.0,1024.351429,0.0,0.0,0.0,0.166667,2,0,684.599962,311.075432,12,2.2007521956683425,0.0,85.36261908333334,57.04999683333333,0.9999999902377255,No_Purchases,0.0,1800.0
20.890606,1.0,110.0,0.0,110.0,0.0,1.0,0.0,0.875,0.0,0,8,56.715447,108.294662,8,0.5237141029431254,13.75,0.0,7.089430875,0.0,Installments_Only,0.333333,1000.0
1540.478248,1.0,1494.11,171.51,1322.6,320.569363,1.0,0.083333,1.0,0.083333,4,51,347.092355,10830.18182,12,0.03204861750691401,124.50916666666666,26.714113583333333,28.924362916666666,0.17665344510421127,Both,0.0,1000.0
