BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,PAYMENTS,MINIMUM_PAYMENTS,TENURE,PAYMENT_TO_MIN_PAYMENT_RATIO,MONTHLY_AVG_PURCHASES,MONTHLY_AVG_CASH_ADVANCE,MONTHLY_AVG_PAYMENTS,CASH_ADVANCE_SHARE,PURCHASE_TYPE,CREDIT_LIMIT,BALANCE_TO_LIMIT_RATIO,IS_FULL_PAYER
1286.787274,1.0,0.0,0.0,0.0,68.190923,0.0,0.0,0.0,0.166667,2,0,1602.22002,421.628447,12,3.800075619658661,0.0,5.682576916666666,133.518335,0.9999998533529376,No_Purchases,1500.0,0.8578581769476122,0
0.0,0.0,110.4,0.0,110.4,0.0,1.0,0.0,1.0,0.0,0,12,0.0,312.343947,12,0.0,9.200000000000001,0.0,0.0,0.0,Installments_Only,1000.0,0.0,0
2963.381127,1.0,535.97,535.97,0.0,38.953008,0.75,0.75,0.0,0.083333,1,10,638.384571,1027.923953,12,0.6210426004048707,44.66416666666667,3.2460839999999997,53.19871425,0.06775343268653057,One_Off_Only,5000.0,0.5926762242146476,0
694.70767,1.0,0.0,0.0,0.0,1640.291172,0.0,0.0,0.0,0.583333,21,0,498.736792,201.320157,12,2.477331503505061,0.0,136.690931,41.561399333333334,0.9999999939035215,No_Purchases,4500.0,0.1543794818791567,0
40.332553,0.545455,158.37,0.0,158.37,0.0,0.083333,0.0,0.083333,0.0,0,1,2280.290156,72.792874,12,31.325728981970272,13.1975,0.0,190.02417966666667,0.0,Installments_Only,3000.0,0.013444184288519383,0
4420.693904,1.0,0.0,0.0,0.0,3202.933702,0.0,0.0,0.0,1.0,32,0,2831.140832,2544.866539,12,1.1124908821299453,0.0,266.9111418333333,235.92840266666667,0.9999999968778622,No_Purchases,4600.0,0.9610204118238687,0
211.1622,0.454545,0.0,0.0,0.0,892.182389,0.0,0.0,0.0,0.166667,5,0,546.738575,177.031914,12,3.0883614810625906,0.0,74.34853241666666,45.56154791666666,0.9999999887915296,No_Purchases,1000.0,0.21116219788837803,0
2743.221459,1.0,0.0,0.0,0.0,776.01291,0.0,0.0,0.0,0.166667,2,0,668.207015,934.308332,12,0.7151889638164014,0.0,64.6677425,55.683917916666665,0.9999999871136166,No_Purchases,3000.0,0.914407149951976,0
2431.193194,1.0,0.0,0.0,0.0,195.932353,0.0,0.0,0.0,0.083333,1,0,976.859575,685.995885,12,1.4240020707412542,0.0,16.327696083333333,81.40496458333332,0.9999999489619793,No_Purchases,4000.0,0.6077982969805042,0
9220.534572,1.0,1420.31,777.66,642.65,9816.782544,1.0,0.25,1.0,0.833333,29,77,4257.372749,4696.075967,12,0.9065808921855952,118.35916666666667,818.065212,354.78106241666666,0.8736052049785404,Both,12500.0,0.7376427651698858,0
2041.527181,1.0,94.16,0.0,94.16,972.530598,0.083333,0.0,0.083333,0.416667,12,1,1073.025534,577.733132,12,1.8573030625963296,7.846666666666667,81.0442165,89.4187945,0.9117269719131154,Installments_Only,2500.0,0.8166108691335564,0
744.112849,1.0,1628.08,626.23,1001.85,0.0,1.0,0.666667,0.75,0.0,0,27,892.732912,263.48702,12,3.388147462135044,135.67333333333332,0.0,74.39440933333334,0.0,Both,6000.0,0.12401880795996865,0
2336.363625,1.0,924.19,0.0,924.19,432.263451,1.0,0.0,1.0,0.166667,2,48,874.589045,845.447604,12,1.0344686418382867,77.01583333333333,36.02195425,72.88242041666668,0.3186717889173493,Installments_Only,2500.0,0.9345454462618181,0
2828.765822,1.0,19.98,19.98,0.0,0.0,0.083333,0.083333,0.0,0.0,0,2,593.220384,1159.310924,12,0.511700844529428,1.665,0.0,49.435032,0.0,One_Off_Only,5500.0,0.5143210576103253,0
7006.751866,1.0,328.92,328.92,0.0,9497.696525,0.166667,0.166667,0.0,0.666667,12,2,659.559695,1400.681628,6,0.4708848014469367,54.82,1582.9494208333333,109.92661583333334,0.9665276436880927,One_Off_Only,10000.0,0.7006751858993248,0
2325.373366,1.0,0.0,0.0,0.0,327.662218,0.0,0.0,0.0,0.583333,10,0,679.52543,718.062844,12,0.9463314056905665,0.0,27.305184833333332,56.62711916666667,0.9999999694807667,No_Purchases,2500.0,0.9301493426794025,0
1162.7795,1.0,757.37,0.0,757.37,131.28406,1.0,0.0,1.0,0.083333,1,13,512.315951,3533.665385,12,0.1449814551555751,63.11416666666667,10.940338333333335,42.69299591666667,0.14773359446831769,Installments_Only,1000.0,1.1627794883722053,0
1281.936062,1.0,43.0,43.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,298.266234,287.394907,12,1.0378271025579762,3.5833333333333335,0.0,24.8555195,0.0,One_Off_Only,1500.0,0.8546240356358398,0
1454.551875,0.545455,0.0,0.0,0.0,3853.339512,0.0,0.0,0.0,0.25,10,0,555.202392,693.582286,12,0.800485241912807,0.0,321.111626,46.266866,0.9999999974048484,No_Purchases,4000.0,0.3636379678409051,0
94.307698,1.0,343.99,0.0,343.99,0.0,1.0,0.0,0.888889,0.0,0,17,327.62139,125.3494,9,2.613665193956637,38.221111111111114,0.0,36.40237666666667,0.0,Installments_Only,1000.0,0.09430769705692303,0
2354.125834,1.0,5351.58,3824.94,1526.64,156.148653,1.0,0.333333,1.0,0.083333,1,21,4452.753075,562.102772,12,7.921599425565555,445.965,13.01238775,371.06275624999995,0.028350825277392574,Both,10000.0,0.2354125831645874,0
1.019189,0.090909,87.02,0.0,87.02,0.0,0.083333,0.0,0.083333,0.0,0,1,0.0,312.343947,12,0.0,7.251666666666666,0.0,0.0,0.0,Installments_Only,15500.0,6.575412898983605e-05,0
174.909754,0.833333,0.0,0.0,0.0,721.16471,0.0,0.0,0.0,0.333333,3,0,221.855473,82.94693,6,2.674667359639789,0.0,120.19411833333334,36.97591216666667,0.9999999861335425,No_Purchases,1500.0,0.11660650188928999,0
624.633263,0.818182,0.0,0.0,0.0,950.85274,0.0,0.0,0.0,0.25,8,0,330.064555,289.686899,12,1.1393837441235566,0.0,79.23772833333334,27.505379583333333,0.9999999894831245,No_Purchases,1000.0,0.6246332567536675,0
2817.403474,1.0,1878.54,1198.89,679.65,1154.965664,0.5,0.333333,0.333333,0.416667,8,14,3185.017063,1079.066979,12,2.9516397920314845,156.545,96.24713866666667,265.4180885833333,0.38073627944695904,Both,3500.0,0.8049724188429359,0
518.923941,1.0,264.0,264.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0,3,235.996925,204.041413,12,1.1566128168004395,22.0,0.0,19.66641041666667,0.0,One_Off_Only,5000.0,0.10378478799243043,0
15.410246,0.571429,51.02,51.02,0.0,0.0,0.142857,0.142857,0.0,0.0,0,2,72.30987,70.412367,7,1.0269482877988907,7.288571428571429,0.0,10.329981428571429,0.0,One_Off_Only,4000.0,0.0038525614903685964,0
7.980453,0.272727,0.0,0.0,0.0,95.842922,0.0,0.0,0.0,0.083333,1,0,198.014471,165.091997,12,1.1994188852522703,0.0,7.986910166666667,16.501205916666667,0.9999998956626243,No_Purchases,9500.0,0.0008400476833262656,0
510.233775,1.0,436.74,436.74,0.0,0.0,0.333333,0.333333,0.0,0.0,0,5,484.285337,239.690542,12,2.0204606854925182,36.395,0.0,40.35711141666667,0.0,One_Off_Only,3500.0,0.1457810781549112,0
